Sym,Pct,Sa,La
TRUP,9.264999999999972,2,3
RGCO,-8.244999999999962,4,2
LCUT,-10.835000000000065,5,3
CBZ,12.840000000000003,5,4
REPL,30.379999999999995,5,3
AGLE,18.08999999999999,5,4
WAFD,-3.8700000000000614,4,2
RGNX,28.86500000000001,5,4
STRO,-6.079999999999956,2,3
SFL,-7.614999999999981,5,2
HASI,23.12999999999998,4,2
WWW,0.2149999999999892,5,2
NVEE,25.08,5,4
PQG,12.219999999999956,2,3
TCI,10.632650000000027,5,4
DOMO,24.17999999999992,5,2
VRTV,27.849999999999994,4,2
CLVS,25.052499999999952,5,2
CRNX,46.46999999999994,2,3
AERI,-14.320000000000007,2,3
DCO,9.640000000000029,2,3
XNCR,6.320000000000022,2,3
ALOT,-3.0800000000000267,2,3
CVCY,-8.040000000000049,2,3
AVDR,21.207500000000053,2,3
RBNC,0.8100000000000307,5,4
AMNB,-13.780000000000001,5,2
OVLY,38.16000000000011,2,3
CBPX,33.844999999999914,4,2
BANR,20.47999999999999,2,3
IRWD,37.444999999999936,2,3
GTN,6.269999999999968,5,2
HTH,3.825000000000017,2,3
APOG,-12.270000000000053,5,4
MRTN,6.790000000000077,2,3
EVTC,1.5949999999999989,5,4
OFIX,3.349999999999966,4,3
HMSY,11.25,2,3
HI,-14.700000000000031,2,3
FFBC,-2.882499999999979,4,2
SBRA,-10.019999999999968,4,2
PEGI,1.2950000000000017,5,4
INSM,86.06000000000003,5,2
IRT,-1.3449999999999847,4,2
GRIF,0.8447999999999922,2,3
SRCE,23.620000000000005,2,3
CWEN,13.395000000000053,4,2
WSC,23.135000000000005,4,3
TIVO,22.387499999999932,4,2
CVA,-9.309999999999988,2,3
LMAT,0.6050000000000892,2,3
PTVCB,-8.819999999999922,4,2
FORM,17.209999999999965,5,4
IBTX,7.06750000000001,5,3
XENT,27.597499999999968,4,2
STFC,14.25,2,3
HOMB,4.432500000000019,2,3
INBK,13.492499999999978,5,4
AMSWA,2.3649999999999807,4,2
FFG,-0.8550000000000182,5,4
NP,27.765,5,3
ASPS,17.510000000000005,5,3
RGS,17.335000000000022,5,2
